name,latitude_deg,longitude_deg,iso_country,iso_region,iata_code
Utirik Airport,11.222,169.852005,MH,MH-UTI,UTK
Ocean Reef Club Airport,25.3253994,-80.27480316,US,US-FL,OCA
Pilot Station Airport,61.934601,-162.899994,US,US-AK,PQS
Crested Butte Airpark,38.851918,-106.928341,US,US-CO,CSE
LBJ Ranch Airport,30.25180054,-98.62249756,US,US-TX,JCY
Loring Seaplane Base,55.601299,-131.636993,US,US-AK,WLR
Nunapitchuk Airport,60.905591,-162.440454,US,US-AK,NUP
Port Alice Seaplane Base,55.803,-133.597,US,US-AK,PTC
Icy Bay Airport,59.966269,-141.660118,US,US-AK,ICY
Port Protection Seaplane Base,56.3288002,-133.6100006,US,US-AK,PPV
Kalakaket Creek AS Airport,64.4166257,-156.8203926,US,US-AK,KKK
Dunsmuir Muni-Mott Airport,41.263199,-122.272003,US,US-CA,MHS
Chase Field Industrial Airport,28.362444,-97.661917,US,US-TX,NIR
Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,US,US-AZ,GCT
Ellamar Seaplane Base,60.893818,-146.704038,US,US-AK,ELW
Lime Village Airport,61.35910034,-155.4400024,US,US-AK,LVD
Hog River Airport,66.2161026,-155.6690063,US,US-AK,HGZ
Ed-Air Airport,38.851782,-87.49987,US,US-IN,OTN
Telida Airport,63.39390182,-153.2689972,US,US-AK,TLF
Eagle Air Park,28.98220062,-95.57969666,US,US-TX,BZT
Entrance Island Seaplane Base,57.412201,-133.43848,US,US-AK,HBH
False Island Seaplane Base,57.53219986,-135.2129974,US,US-AK,FAK
Blakely Island Airport,48.57899857,-122.8259964,US,US-WA,BYW
Drift River Airport,60.58890152,-152.1620026,US,US-AK,DRF
Rinkenberger Restricted Landing Area,41.23089981,-89.61569977,US,US-IL,BDF
Roy Otten Memorial Airfield,38.42779922,-92.87519836,US,US-MO,VRS
Golden Horn Lodge Seaplane Base,59.74700165,-158.875,US,US-AK,GDH
Atmautluak Airport,60.866699,-162.272996,US,US-AK,ATT
Livengood Camp Airport,65.467,-148.6534,US,US-AK,LIV
Pedro Bay Airport,59.78960037,-154.1239929,US,US-AK,PDB
Ouzinkie Airport,57.942094,-152.464314,US,US-AK,KOZ
Tununak Airport,60.57550049,-165.2720032,US,US-AK,TNK
Hyder Seaplane Base,55.903324,-130.009975,US,US-AK,WHD
Minto Al Wright Airport,65.1437,-149.369995,US,US-AK,MNT
Tokeen Seaplane Base,55.93709946,-133.3269959,US,US-AK,TKI
Aleknagik / New Airport,59.2826004,-158.6179962,US,US-AK,WKK
Ketchikan Harbor Seaplane Base,55.349899,-131.677002,US,US-AK,WFB
Naknek Airport,58.735633,-157.02216,US,US-AK,NNK
Lake Brooks Seaplane Base,58.55479813,-155.7769928,US,US-AK,BKF
Southern Seaplane Airport,29.866078,-90.021608,US,US-LA,BCS
Catalina Air-Sea Terminal Heliport,33.74919891,-118.2750015,US,US-CA,SPQ
East 34th Street Heliport,40.74259949,-73.9720993,US,US-NY,TSS
New York Skyports Inc Seaplane Base,40.735061,-73.972814,US,US-NY,QNY
Earl Henry Airport,36.79589844,-97.31700134,US,US-OK,BWL
Yes Bay Lodge Seaplane Base,55.91630173,-131.8009949,US,US-AK,WYB
Center Island Airport,48.49010086,-122.8320007,US,US-WA,CWS
Tatitlek Airport,60.871449,-146.690297,US,US-AK,TEK
Pine Island Airport,36.25350189,-75.78849792,US,US-NC,DUF
Stuart Island Airpark,48.673379,-123.175439,US,US-WA,SSW
Fort Bragg Airport,39.472445,-123.795319,US,US-CA,FOB
Port of Poulsbo Marina Moorage Seaplane Base,47.73400116,-122.6470032,US,US-WA,PUL
Century City Heliport,34.06079865,-118.4179993,US,US-CA,CCD
Meyers Chuck Seaplane Base,55.73960114,-132.2550049,US,US-AK,WMK
Maxson Airfield,44.312002,-75.90034,US,US-NY,AXB
Reese Airpark,33.59030151,-102.0370026,US,US-TX,REE
Waldron Airstrip,48.7118,-123.017998,US,US-WA,WDN
Whale Pass Seaplane Float Harbor Facility,56.116299,-133.121994,US,US-AK,WWP
Chuathbaluk Airport,61.579102,-159.216003,US,US-AK,CHU
Ugashik Airport,57.523476,-157.396344,US,US-AK,UGS
Philadelphia Seaplane Base,39.85900116,-75.29959869,US,US-PA,PSQ
Levelock Airport,59.12606,-156.860906,US,US-AK,KLL
Saginaw Seaplane Base,56.88629913,-134.1580048,US,US-AK,SGW
Tuntutuliak Airport,60.33530045,-162.6670074,US,US-AK,WTL
Twin Hills Airport,59.07559967,-160.272995,US,US-AK,TWA
Chignik Lake Airport,56.25500107,-158.7749939,US,US-AK,KCQ
Adado Airport,6.095802,46.6375,SO,SO-GA,AAD
Atkamba Airport,-6.06462,141.095173,PG,PG-WPD,ABP
Arica Airport,-2.144851,-71.758389,CO,CO-AMA,ACM
Andakombe Airport,-7.137222222,145.7447222,PG,PG-EHG,ADC
El Daein Airport,11.4023,26.1186,SD,SD-DE,ADV
Jebel Ali Seaplane Base,24.988967,55.023796,AE,AE-DU,DJH
Adareil Airport,10.053611,32.959444,SS,SS-23,AEE
Aseki Airport,-7.350804856,146.1938667,PG,PG-MPL,AEK
Ar Horqin Airport,43.87042,120.15958,CN,CN-15,AEQ
Khost International Airport,33.284605,69.80734,AF,AF-KHO,KHT
Orūzgān Airport,32.90299988,66.63089752,AF,AF-ORU,URZ
Salerno Airport,33.3638,69.9561,AF,AF-KHO,OLR
Kondavattavana Tank Seaplane Base,7.284,81.644,LK,LK-5,AFK
Afore Airstrip,-9.142222222,148.3908333,PG,PG-NPP,AFR
Afutara Aerodrome,-9.191388889,160.9486111,SB,SB-ML,AFT
Ulawa Airport,-9.860543583,161.9795465,SB,SB-MK,RNA
Uru Harbour Airport,-8.87333,161.011002,SB,SB-ML,ATD
Barakoma Airport,-7.912779808,156.7059937,SB,SB-WE,VEV
Geva Airport,-7.575829983,156.5970001,SB,SB-WE,GEF
Angoram Airport,-4.055833333,144.0738889,PG,PG-ESW,AGG
Gwaunaru'u Airport,-8.70257,160.682007,SB,SB-ML,AKS
Bellona/Anua Airport,-11.30222222,159.7983333,SB,SB-RB,BNY
Choiseul Bay Airport,-6.711944,156.396111,SB,SB-CH,CHY
Ballalae Airport,-6.990745,155.886656,SB,SB-WE,BAS
Fera/Maringe Airport,-8.1075,159.576996,SB,SB-IS,FRE
Honiara International Airport,-9.428,160.054993,SB,SB-GU,HIR
Babanakira Airport,-9.74750042,159.8390045,SB,SB-GU,MBU
Avu Avu Airport,-9.868333333,160.4105556,SB,SB-GU,AVU
Ngorangora Airport,-10.44970036,161.897995,SB,SB-MK,IRA
Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972,165.7949982,SB,SB-TE,SCZ
Munda Airport,-8.32797,157.263,SB,SB-WE,MUA
Nusatupe Airport,-8.097780228,156.8639984,SB,SB-WE,GZO
Mono Airport,-7.416940212,155.5650024,SB,SB-WE,MNY
Parasi Airport,-9.641670227,161.4250031,SB,SB-ML,PRS
Rennell/Tingoa Airport,-11.53390026,160.0630035,SB,SB-RB,RNL
Sege Airport,-8.578889847,157.8760071,SB,SB-WE,EGM
Santa Ana Airport,-10.847994,162.454108,SB,SB-MK,NNB
Marau Airport,-9.86166954,160.8249969,SB,SB-GU,RUS
Suavanao Airport,-7.585559845,158.7310028,SB,SB-IS,VAO
Yandina Airport,-9.092816,159.21841,SB,SB-CE,XYA
Kagua Airport,-6.396388889,143.8536111,PG,PG-SHM,AGK
Kaghau Airport,-7.3305,157.585,SB,SB-CH,KGE
Kukudu Airport,-8.0262,156.94783,SB,SB-WE,KUE
Kwailabesi Airport,-8.360508,160.775127,SB,SB-ML,KWS
Wanigela Airport,-9.3375,149.1555556,PG,PG-NPP,AGL
Nana Airport,-10.6758,162.2049,SB,SB-MK,NAZ
Gatokae Aerodrome,-8.738358,158.202836,SB,SB-WE,GTA
Ringi Cove Airport,-8.126390457,157.1430054,SB,SB-WE,RIN
Ramata Airport,-8.168060303,157.6430054,SB,SB-WE,RBV
Tulaghi Heliport,-9.108,160.1491667,SB,SB-CE,TLG
Argyle Downs Airport,-16.508604,128.922485,AU,AU-WA,AGY
Hongyuan Airport,32.53154,102.35224,CN,CN-51,AHJ
Ambatolhy Airport,-20.01583333,45.535,MG,MG-U,AHY
Aiome Airport,-5.145699978,144.7307003,PG,PG-MPM,AIE
Aiambak Airport,-7.342777778,141.2675,PG,PG-WPD,AIH
Ailinglaplap Airok Airport,7.279422,168.8257,MH,MH-ALL,AIC
Chena Hot Springs Airport,65.05180359,-146.0469971,US,US-AK,CEX
Solomon State Field,64.5605,-164.4457,US,US-AK,SOL
Herendeen Bay Airport,55.80139923,-160.8990021,US,US-AK,HED
Taylor Airport,65.6792984,-164.798996,US,US-AK,TWE
Tikchik Lodge Seaplane Base,59.96319962,-158.477005,US,US-AK,KTH
Naukati Bay Seaplane Base,55.849602,-133.227994,US,US-AK,NKI
Point Lonely Short Range Radar Site Airfield,70.911118,-153.237766,US,US-AK,LNI
Candle 2 Airport,65.90769959,-161.9259949,US,US-AK,CDL
Amook Bay Seaplane Base,57.4715004,-153.8150024,US,US-AK,AOS
Boswell Bay Airport,60.42309952,-146.1459961,US,US-AK,BSW
Zakuoma Airport,10.89027778,19.81722222,TD,TD-SA,AKM
Alitak Seaplane Base,56.8995018,-154.2480011,US,US-AK,ALZ
Mar de Cortés International Airport,31.351987,-113.305177,MX,MX-SON,PPE
Alto Molocue Airport,-15.61027778,37.68138889,MZ,MZ-Q,AME
Ama Airport,-4.101111111,141.67,PG,PG-ESW,AMF
Amanab Airport,-3.586,141.2143333,PG,PG-SAN,AMU
Ambatomainty Airport,-17.68666667,45.62388889,MG,MG-M,AMY
Nauru International Airport,-0.547458,166.919006,NR,NR-14,INU
Angus Downs Airport,-25.0325,132.2748,AU,AU-NT,ANZ
Catoca Airport,-9.430985,20.311478,AO,AO-LSU,CTV
Andulo Airport,-11.4723,16.710899,AO,AO-BIE,ANL
Cangamba Airport,-13.7106,19.861099,AO,AO-MOX,CNZ
Dirico Airport,-17.98192406,20.76806068,AO,AO-CCU,DRC
Capanda Airport,-9.769370079,15.4553194,AO,AO-MAL,KNP
N'dalatando Airport,-9.280378,14.982432,AO,AO-CNO,NDF
Annanberg Airport,-4.904166667,144.6358333,PG,PG-MPM,AOB
Abou-Deïa Airport,11.4773,19.2874,TD,TD-SA,AOD
Asapa Airport,-8.979166667,148.1036111,PG,PG-NPP,APP
April River Airport,-4.676666667,142.5401389,PG,PG-ESW,APR
Troll Airfield,-71.95714,2.45257,AQ,AQ-U-A,QET
Girdwood-Alyeska Airport,60.968774,-149.119792,US,US-AK,AQY
Bragado Airport,-35.145811,-60.480294,AR,AR-B,QRF
Caleta Olivia Airport,-46.37428,-67.59409,AR,AR-Z,CVI
Charata Airport,-27.2164,-61.2103,AR,AR-H,CNT
General Villegas Airport,-34.995728,-62.999725,AR,AR-B,VGS
Los Menucos Airport,-40.817699,-68.074699,AR,AR-R,LMD
Valcheta Airport,-40.70000076,-66.15000153,AR,AR-R,VCF
Sunchales Aeroclub Airport,-30.9575,-61.5283,AR,AR-S,NCJ
Carmen de Patagones Airport,-40.7781,-62.9803,AR,AR-B,CPG
Termal Airport,-26.753611,-60.492222,AR,AR-H,PRQ
Colonia Sarmiento Airport,-45.582371,-68.999841,AR,AR-U,OLN
Aragip Airport,-9.883333333,149.4833333,PG,PG-MBA,ARP
Asirim Airport,-6.009722222,150.3686111,PG,PG-WBK,ASZ
Namatanai Airport,-3.6695,152.438,PG,PG-NIK,ATN
Aitape Airport,-3.143611111,142.3468056,PG,PG-SAN,ATP
Lady Elliot Island Airstrip,-24.1129,152.7156,AU,AU-QLD,LYT
Gruyere Airport,-28.034548,123.81506,AU,AU-WA,GYZ
Karara Airport,-29.217223,116.687154,AU,AU-WA,KQR
Agnew Airport,-12.1456,142.149369,AU,AU-QLD,AGW
Alroy Downs Airport,-19.2908,136.078995,AU,AU-NT,AYD
Baniyala Airport,-13.1981,136.227005,AU,AU-NT,BYX
Coolibah Airport,-15.54829979,130.9620056,AU,AU-NT,COB
Coorabie Airport,-31.89439964,132.2960052,AU,AU-SA,CRJ
Carlton Hill Airport,-15.50189972,128.5339966,AU,AU-WA,CRY
Cresswell Downs Airport,-17.94799995,135.9160004,AU,AU-NT,CSD
Diamantina Lakes Airport,-23.76169968,141.1450043,AU,AU-QLD,DYM
Hayman Island Resort Seaplane Base,-20.05999947,148.8809967,AU,AU-QLD,HIS
Helenvale Airport,-15.6857996,145.2149963,AU,AU-QLD,HLV
Kimberley Downs Airport,-17.39780045,124.3550034,AU,AU-WA,KBD
Kulgera Airport,-25.8428,133.292007,AU,AU-NT,KGR
Camballin Airport,-18.12470055,124.2720032,AU,AU-WA,MYO
Orchid Beach Airport,-24.95940018,153.3150024,AU,AU-QLD,OKB
Peppimenarti Airport,-14.1442,130.091003,AU,AU-NT,PEP
Rockhampton Downs Airport,-18.95330048,135.201004,AU,AU-NT,RDA
Sturt Creek Airport,-19.16640091,128.173996,AU,AU-WA,SSK
Shaw River Airport,-21.51029968,119.3619995,AU,AU-WA,SWB
Tom Price Airport,-22.74600029,117.8690033,AU,AU-WA,TPR
Torwood Airport,-17.36330032,143.75,AU,AU-QLD,TWP
Springvale Airport,-17.78689957,127.6699982,AU,AU-WA,ZVG
Aua Island Airport,-1.460555556,143.0647222,PG,PG-MRL,AUI
Ambunti Airport,-4.215666667,142.8231667,PG,PG-ESW,AUJ
Agaun Airport,-9.930833,149.385667,PG,PG-MBA,AUP
Aumo Airport,-5.731111111,148.4452778,PG,PG-WBK,AUV
Alowe Airport,-0.545,9.444,GA,GA-3,AWE
Alxa Left Banner Bayanhot Airport,38.74831,105.58858,CN,CN-15,AXF
Pantar Kabir Airport,-8.244832,124.219108,ID,ID-NT,AXO
Kompiam Airport,-5.381666667,143.9247222,PG,PG-EPW,KPM
Buka Airport,-5.422319889,154.6730042,PG,PG-NSB,BUA
Biaru Airport,-7.6693,146.7594,PG,PG-MPL,BRP
Chimbu Airport,-6.024290085,144.970993,PG,PG-CPK,CMU
Munduku Airport,-4.6204,143.4516,PG,PG-ESW,MDM
Kondobol Airport,-8.5336,142.5049,PG,PG-WPD,KPF
Dinangat Airport,-6.1546,146.6772,PG,PG-MPL,DNU
Doini Airport,-10.7009,150.7218,PG,PG-MBA,DOI
Daru Airport,-9.08676,143.207993,PG,PG-WPD,DAU
Embessa Airport,-9.447,148.7628,PG,PG-NPP,EMS
Edwaki Airport,-3.883986,141.792234,PG,PG-SAN,XYR
Eliptamin Airport,-5.0412,141.6779,PG,PG-SAN,EPT
Engati Airstrip,-6.9179,146.1053,PG,PG-MPL,EGA
Emo River Airstrip,-9.1234,148.0415,PG,PG-NPP,EMO
Erume Airport,-8.2538,146.9747,PG,PG-CPM,ERU
Meselia Airport,-6.1364,149.1183,PG,PG-WBK,MFZ
Feramin Airport,-5.208,141.6988,PG,PG-SAN,FRQ
Frieda River Airport,-4.610468,141.960138,PG,PG-ESW,FAQ
Fuma Airport,-6.3933,142.4408,PG,PG-WPD,FUM
Goroka Airport,-6.081689835,145.3919983,PG,PG-EHG,GKA
Guari Airport,-8.1286,146.8722,PG,PG-CPM,GUG
Garasa Airport,-7.980713,147.213461,PG,PG-MPL,GRL
Gurney Airport,-10.3114996,150.3339996,PG,PG-MBA,GUR
Gusap Airport,-6.053196,145.959047,PG,PG-MPL,GAP
Girua Airport,-8.80453968,148.3090057,PG,PG-NPP,PNP
Gasuke Airport,-6.1028,141.7393,PG,PG-WPD,GBC
Habi Airport,-6.32,142.4893,PG,PG-WPD,HBD
Heiweni Airport,-7.4223,146.4276,PG,PG-MPL,HNI
Honinabi Airport,-6.2457,142.1771,PG,PG-WPD,HNN
Hoskins Airport,-5.463846,150.407327,PG,PG-WBK,HKN
Haivaro Airport,-6.9406,143.059,PG,PG-GPK,HIT
Imane Airport,-6.7524,146.1072,PG,PG-MPL,IMN
Kungim Airport,-5.671,141.03,PG,PG-WPD,KGM
Imonda Airport,-3.328,141.1573,PG,PG-SAN,IMD
Aropa Airport,-6.305417,155.728139,PG,PG-NSB,KIE
Ialibu Airport,-6.2782,143.9944,PG,PG-SHM,IAL
Witu Airport,-4.689522,149.440112,PG,PG-WBK,WIU
Yongai Airport,-8.5289,147.4603,PG,PG-CPM,KGH
Losuia Airport,-8.505820274,151.0809937,PG,PG-MBA,LSA
Kopiago Airport,-5.3883,142.4977,PG,PG-HE,KPA
Kiunga Airport,-6.125710011,141.2819977,PG,PG-WPD,UNG
Kanainj Airport,-5.2903,144.7072,PG,PG-MPM,KNE
Kikori Airport,-7.424379826,144.2500763,PG,PG-GPK,KRI
Kerema Airport,-7.963610172,145.7709961,PG,PG-GPK,KMA
Kar Kar Airport,-4.557,145.9404,PG,PG-MPM,KRX
Kuri Airport,-7.135083,143.276111,PG,PG-GPK,KUQ
Kavieng Airport,-2.579400063,150.8079987,PG,PG-NIK,KVG
Londolovit Airport,-3.043610096,152.6289978,PG,PG-NIK,LNV
