IATA,City,Country
IKT,Irkutsk,Russia
BTK,Bratsk,Russia
HTA,Chita,Russia
KCK,Kirensk,Russia
MJZ,Mirny,Russia
ODO,Bodaybo,Russia
OVB,Novosibirsk,Russia
TLK,Talakan,Russia
UKX,Ust-Kut,Russia
ULK,Lensk,Russia
YKS,Yakutsk,Russia
KJA,Krasnoyarsk,Russia
TOF,Tomsk,Russia
UFA,Ufa,Russia
SGC,Surgut,Russia
DME,Moscow,Russia
ASF,Astrakhan,Russia
BHK,Bukhara,Uzbekistan
FEG,Fergana,Uzbekistan
KSQ,Qarshi,Uzbekistan
NMA,Namangan,Uzbekistan
NVI,Navoi,Uzbekistan
SKD,Samarkand,Uzbekistan
STW,Stavropol,Russia
LED,Saint Petersburg,Russia
CTU,Chengdu Shuangliu,China
SVO,Moscow,Russia
VKO,Moscow,Russia
NUX,Novy Urengoy,Russia
NYM,Nadym,Russia
SVX,Yekaterinburg,Russia
TJM,Tyumen,Russia
ARH,Arkhangelsk,Russia
NNM,Naryan-Mar,Russia
AER,Sochi,Russia
KGD,Kaliningrad,Russia
KRR,Krasnodar,Russia
GSV,Saratov,Russia
MCX,Makhachkala,Russia
MMK,Murmansk,Russia
MRV,Mineralnye Vody,Russia
OGZ,Vladikavkaz,Russia
REN,Orenburg,Russia
ROV,Rostov-on-Don,Russia
SIP,Simferopol,Ukraine
UUD,Ulan-Ude,Russia
CEK,Chelyabinsk,Russia
KUF,Samara,Russia
NAL,Nalchik,Russia
SCW,Syktyvkar,Russia
VOZ,Voronezh,Russia
DAM,Damascus,Syria
PYJ,Udachny,Russia
MWX,Muan,South Korea
VVO,Vladivostok,Russia
BZK,Bryansk,Russia
EGO,Belgorod,Russia
LPK,Lipetsk,Russia
PES,Petrozavodsk,Russia
TBW,Tambov,Russia
URS,Kursk,Russia
GOJ,Nizhny Novgorod,Russia
IWA,Mesa,USA
ULV,Ulyanovsk,Russia
EYK,Beloyarsky,Russia
NOJ,Noyabrsk,Russia
ESL,Elista,Russia
KVX,Kirov,Russia
PEZ,Penza,Russia
VKT,Vorkuta,Russia
KLF,Kaluga,Russia
EVN,Yerevan,Armenia
NBC,Nizhnekamsk,Russia
OMS,Omsk,Russia
GRV,Grozny,Russia
FRU,Bishkek,Kyrgizia
VOG,Volgograd,Russia
PKV,Pskov,Russia
